adm,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
NY,750k<n<1M,750k<n<1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,750k<n<1M,750k<n<1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,750k<n<1M,750k<n<1M,750k<n<1M,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
NC,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
ND,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,100k<n<250k
OH,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
OK,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
OR,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
PA,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
RI,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
SC,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
SD,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
TN,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
TX,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,750k<n<1M,750k<n<1M
UT,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,100k<n<250k,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,n<100k,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
VT,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
VA,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
WA,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
WV,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
WI,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
